year,week,incidentie
2021-2022,1,8
2021-2022,2,9
2021-2022,3,11
2021-2022,4,13
2021-2022,5,13
2021-2022,6,13
2021-2022,7,9
2021-2022,8,13
2021-2022,9,7
2021-2022,10,10
2021-2022,11,9
2021-2022,12,13
2021-2022,13,9
2021-2022,14,10
2021-2022,15,8
2021-2022,16,10
2021-2022,17,9
2021-2022,18,9
2021-2022,19,9
2021-2022,20,9
2021-2022,21,8
2021-2022,22,10
2021-2022,23,8
2021-2022,24,11
2021-2022,25,8
2021-2022,26,10
2021-2022,27,11
2021-2022,28,7
2021-2022,29,9
2021-2022,30,13
2021-2022,31,8
2021-2022,32,13
2021-2022,33,10
2021-2022,34,8
2021-2022,35,11
2021-2022,36,7
2021-2022,37,12
2021-2022,38,9
2021-2022,39,7
2021-2022,40,8
2021-2022,41,10
2021-2022,42,13
2021-2022,43,12
2021-2022,44,11
2021-2022,45,9
2021-2022,46,12
2021-2022,47,11
2021-2022,48,10
2021-2022,49,9
2021-2022,50,12
2021-2022,51,13
2021-2022,52,9
2022-2023,1,9
2022-2023,2,13
2022-2023,3,9
2022-2023,4,12
2022-2023,5,11
2022-2023,6,14
2022-2023,7,15
2022-2023,8,11
2022-2023,9,13
2022-2023,10,12
2022-2023,11,11
2022-2023,12,13
2022-2023,13,14
2022-2023,14,14
2022-2023,15,16
2022-2023,16,15
2022-2023,17,14
2022-2023,18,14
2022-2023,19,14
2022-2023,20,11
2022-2023,21,13
2022-2023,22,13
2022-2023,23,12
2022-2023,24,16
2022-2023,25,10
2022-2023,26,9
2022-2023,27,16
2022-2023,28,15
2022-2023,29,12
2022-2023,30,15
2022-2023,31,15
2022-2023,32,16
2022-2023,33,13
2022-2023,34,13
2022-2023,35,9
2022-2023,36,13
2022-2023,37,13
2022-2023,38,15
2022-2023,39,10
2022-2023,40,11
2022-2023,41,9
2022-2023,42,15
2022-2023,43,16
2022-2023,44,12
2022-2023,45,12
2022-2023,46,13
2022-2023,47,11
2022-2023,48,11
2022-2023,49,16
2022-2023,50,14
2022-2023,51,15
2022-2023,52,13
2023-2024,1,6
2023-2024,2,12
2023-2024,3,11
2023-2024,4,7
2023-2024,5,7
2023-2024,6,6
2023-2024,7,9
2023-2024,8,8
2023-2024,9,8
2023-2024,10,8
2023-2024,11,13
2023-2024,12,10
2023-2024,13,7
2023-2024,14,7
2023-2024,15,7
2023-2024,16,5
2023-2024,17,12
2023-2024,18,12
2023-2024,19,5
2023-2024,20,13
2023-2024,21,6
2023-2024,22,8
2023-2024,23,5
2023-2024,24,6
2023-2024,25,10
2023-2024,26,6
