year,week,incidentie
2021-2022,1,16
2021-2022,2,16
2021-2022,3,16
2021-2022,4,17
2021-2022,5,20
2021-2022,6,18
2021-2022,7,14
2021-2022,8,14
2021-2022,9,19
2021-2022,10,14
2021-2022,11,16
2021-2022,12,20
2021-2022,13,19
2021-2022,14,20
2021-2022,15,18
2021-2022,16,19
2021-2022,17,17
2021-2022,18,16
2021-2022,19,18
2021-2022,20,16
2021-2022,21,15
2021-2022,22,20
2021-2022,23,17
2021-2022,24,19
2021-2022,25,17
2021-2022,26,20
2021-2022,27,14
2021-2022,28,16
2021-2022,29,18
2021-2022,30,15
2021-2022,31,17
2021-2022,32,14
2021-2022,33,15
2021-2022,34,15
2021-2022,35,14
2021-2022,36,19
2021-2022,37,17
2021-2022,38,18
2021-2022,39,19
2021-2022,40,15
2021-2022,41,19
2021-2022,42,17
2021-2022,43,16
2021-2022,44,18
2021-2022,45,15
2021-2022,46,19
2021-2022,47,19
2021-2022,48,14
2021-2022,49,19
2021-2022,50,15
2021-2022,51,14
2021-2022,52,15
2022-2023,1,16
2022-2023,2,13
2022-2023,3,18
2022-2023,4,15
2022-2023,5,13
2022-2023,6,19
2022-2023,7,18
2022-2023,8,18
2022-2023,9,12
2022-2023,10,19
2022-2023,11,14
2022-2023,12,16
2022-2023,13,15
2022-2023,14,19
2022-2023,15,17
2022-2023,16,14
2022-2023,17,12
2022-2023,18,18
2022-2023,19,15
2022-2023,20,16
2022-2023,21,13
2022-2023,22,13
2022-2023,23,18
2022-2023,24,14
2022-2023,25,15
2022-2023,26,17
2022-2023,27,12
2022-2023,28,14
2022-2023,29,19
2022-2023,30,19
2022-2023,31,18
2022-2023,32,13
2022-2023,33,13
2022-2023,34,19
2022-2023,35,14
2022-2023,36,15
2022-2023,37,17
2022-2023,38,18
2022-2023,39,19
2022-2023,40,19
2022-2023,41,19
2022-2023,42,18
2022-2023,43,18
2022-2023,44,15
2022-2023,45,17
2022-2023,46,16
2022-2023,47,13
2022-2023,48,13
2022-2023,49,13
2022-2023,50,15
2022-2023,51,16
2022-2023,52,16
2023-2024,1,16
2023-2024,2,14
2023-2024,3,14
2023-2024,4,14
2023-2024,5,15
2023-2024,6,10
2023-2024,7,15
2023-2024,8,12
2023-2024,9,9
2023-2024,10,9
2023-2024,11,11
2023-2024,12,14
2023-2024,13,16
2023-2024,14,10
2023-2024,15,16
2023-2024,16,9
2023-2024,17,16
2023-2024,18,11
2023-2024,19,11
2023-2024,20,10
2023-2024,21,10
2023-2024,22,17
2023-2024,23,9
2023-2024,24,14
2023-2024,25,12
2023-2024,26,17
