symptom,frequentie
Laufende oder verstopfte Nase,8.12
Niesen,6.48
Husten,5.89
Kopfschmerzen,4.22
Halsschmerzen,4.13
Allgemeines Unwohlsein,2.54
Muskelschmerzen/Gelenkschmerzen,2.29
Verfärbten Schleim aushusten,1.45
Kurzatmig,1.28
Verminderter Appetit,1.12
Schüttelfrost,0.97
Fieber,0.96
Durchfall (Diarrhö),0.96
Wässrige oder blutunterlaufene Augen,0.79
Brustschmerzen,0.79
Unpässlichkeit,0.49
Bauchschmerzen,0.49
Übergeben I Erbrechen,0.24
Geschmacksverlust,0.24
Nasenbluten,0.12
Geruchsverlust,0.12
