year,week,incidentie
2021-2022,1,10
2021-2022,2,9
2021-2022,3,7
2021-2022,4,9
2021-2022,5,13
2021-2022,6,11
2021-2022,7,10
2021-2022,8,7
2021-2022,9,11
2021-2022,10,9
2021-2022,11,10
2021-2022,12,10
2021-2022,13,10
2021-2022,14,9
2021-2022,15,13
2021-2022,16,12
2021-2022,17,9
2021-2022,18,10
2021-2022,19,13
2021-2022,20,7
2021-2022,21,12
2021-2022,22,11
2021-2022,23,11
2021-2022,24,12
2021-2022,25,7
2021-2022,26,9
2021-2022,27,8
2021-2022,28,13
2021-2022,29,11
2021-2022,30,8
2021-2022,31,8
2021-2022,32,7
2021-2022,33,7
2021-2022,34,8
2021-2022,35,7
2021-2022,36,7
2021-2022,37,13
2021-2022,38,9
2021-2022,39,10
2021-2022,40,8
2021-2022,41,13
2021-2022,42,12
2021-2022,43,7
2021-2022,44,9
2021-2022,45,10
2021-2022,46,13
2021-2022,47,9
2021-2022,48,10
2021-2022,49,11
2021-2022,50,9
2021-2022,51,13
2021-2022,52,11
2022-2023,1,11
2022-2023,2,16
2022-2023,3,9
2022-2023,4,14
2022-2023,5,16
2022-2023,6,15
2022-2023,7,12
2022-2023,8,9
2022-2023,9,10
2022-2023,10,14
2022-2023,11,9
2022-2023,12,10
2022-2023,13,16
2022-2023,14,12
2022-2023,15,9
2022-2023,16,11
2022-2023,17,13
2022-2023,18,12
2022-2023,19,12
2022-2023,20,11
2022-2023,21,11
2022-2023,22,11
2022-2023,23,13
2022-2023,24,15
2022-2023,25,14
2022-2023,26,16
2022-2023,27,12
2022-2023,28,12
2022-2023,29,9
2022-2023,30,11
2022-2023,31,13
2022-2023,32,14
2022-2023,33,11
2022-2023,34,9
2022-2023,35,16
2022-2023,36,14
2022-2023,37,10
2022-2023,38,9
2022-2023,39,13
2022-2023,40,12
2022-2023,41,10
2022-2023,42,11
2022-2023,43,9
2022-2023,44,10
2022-2023,45,15
2022-2023,46,12
2022-2023,47,11
2022-2023,48,16
2022-2023,49,16
2022-2023,50,16
2022-2023,51,16
2022-2023,52,15
2023-2024,1,7
2023-2024,2,13
2023-2024,3,13
2023-2024,4,8
2023-2024,5,12
2023-2024,6,8
2023-2024,7,8
2023-2024,8,11
2023-2024,9,10
2023-2024,10,11
2023-2024,11,6
2023-2024,12,13
2023-2024,13,11
2023-2024,14,11
2023-2024,15,9
2023-2024,16,7
2023-2024,17,9
2023-2024,18,11
2023-2024,19,12
2023-2024,20,10
2023-2024,21,11
2023-2024,22,5
2023-2024,23,8
2023-2024,24,13
2023-2024,25,5
2023-2024,26,9
