year,week,incidentie
2021-2022,1,10
2021-2022,2,8
2021-2022,3,12
2021-2022,4,10
2021-2022,5,8
2021-2022,6,10
2021-2022,7,13
2021-2022,8,8
2021-2022,9,7
2021-2022,10,12
2021-2022,11,12
2021-2022,12,12
2021-2022,13,7
2021-2022,14,10
2021-2022,15,7
2021-2022,16,9
2021-2022,17,13
2021-2022,18,10
2021-2022,19,13
2021-2022,20,9
2021-2022,21,9
2021-2022,22,12
2021-2022,23,9
2021-2022,24,9
2021-2022,25,10
2021-2022,26,12
2021-2022,27,13
2021-2022,28,11
2021-2022,29,9
2021-2022,30,9
2021-2022,31,13
2021-2022,32,8
2021-2022,33,12
2021-2022,34,11
2021-2022,35,13
2021-2022,36,11
2021-2022,37,13
2021-2022,38,9
2021-2022,39,7
2021-2022,40,9
2021-2022,41,11
2021-2022,42,11
2021-2022,43,7
2021-2022,44,12
2021-2022,45,9
2021-2022,46,7
2021-2022,47,9
2021-2022,48,11
2021-2022,49,9
2021-2022,50,8
2021-2022,51,9
2021-2022,52,12
2022-2023,1,9
2022-2023,2,14
2022-2023,3,9
2022-2023,4,15
2022-2023,5,13
2022-2023,6,10
2022-2023,7,9
2022-2023,8,16
2022-2023,9,16
2022-2023,10,12
2022-2023,11,16
2022-2023,12,14
2022-2023,13,15
2022-2023,14,13
2022-2023,15,10
2022-2023,16,9
2022-2023,17,11
2022-2023,18,14
2022-2023,19,16
2022-2023,20,9
2022-2023,21,12
2022-2023,22,10
2022-2023,23,10
2022-2023,24,12
2022-2023,25,10
2022-2023,26,9
2022-2023,27,12
2022-2023,28,13
2022-2023,29,16
2022-2023,30,12
2022-2023,31,11
2022-2023,32,9
2022-2023,33,15
2022-2023,34,14
2022-2023,35,11
2022-2023,36,15
2022-2023,37,16
2022-2023,38,11
2022-2023,39,16
2022-2023,40,9
2022-2023,41,10
2022-2023,42,12
2022-2023,43,15
2022-2023,44,15
2022-2023,45,16
2022-2023,46,15
2022-2023,47,14
2022-2023,48,14
2022-2023,49,13
2022-2023,50,12
2022-2023,51,11
2022-2023,52,11
2023-2024,1,13
2023-2024,2,8
2023-2024,3,5
2023-2024,4,7
2023-2024,5,11
2023-2024,6,10
2023-2024,7,13
2023-2024,8,13
2023-2024,9,6
2023-2024,10,13
2023-2024,11,5
2023-2024,12,13
2023-2024,13,5
2023-2024,14,9
2023-2024,15,11
2023-2024,16,6
2023-2024,17,8
2023-2024,18,8
2023-2024,19,13
2023-2024,20,12
2023-2024,21,13
2023-2024,22,8
2023-2024,23,13
2023-2024,24,12
2023-2024,25,13
2023-2024,26,10
