year,week,incidentie
2021-2022,1,20
2021-2022,2,19
2021-2022,3,19
2021-2022,4,14
2021-2022,5,15
2021-2022,6,14
2021-2022,7,15
2021-2022,8,17
2021-2022,9,14
2021-2022,10,19
2021-2022,11,17
2021-2022,12,17
2021-2022,13,17
2021-2022,14,20
2021-2022,15,18
2021-2022,16,20
2021-2022,17,18
2021-2022,18,19
2021-2022,19,16
2021-2022,20,18
2021-2022,21,14
2021-2022,22,19
2021-2022,23,16
2021-2022,24,20
2021-2022,25,16
2021-2022,26,15
2021-2022,27,16
2021-2022,28,20
2021-2022,29,15
2021-2022,30,14
2021-2022,31,14
2021-2022,32,14
2021-2022,33,16
2021-2022,34,18
2021-2022,35,17
2021-2022,36,18
2021-2022,37,20
2021-2022,38,20
2021-2022,39,14
2021-2022,40,20
2021-2022,41,19
2021-2022,42,18
2021-2022,43,20
2021-2022,44,16
2021-2022,45,19
2021-2022,46,14
2021-2022,47,18
2021-2022,48,15
2021-2022,49,16
2021-2022,50,18
2021-2022,51,16
2021-2022,52,14
2022-2023,1,18
2022-2023,2,16
2022-2023,3,19
2022-2023,4,15
2022-2023,5,19
2022-2023,6,14
2022-2023,7,16
2022-2023,8,17
2022-2023,9,18
2022-2023,10,12
2022-2023,11,13
2022-2023,12,14
2022-2023,13,18
2022-2023,14,14
2022-2023,15,14
2022-2023,16,15
2022-2023,17,12
2022-2023,18,12
2022-2023,19,12
2022-2023,20,12
2022-2023,21,12
2022-2023,22,15
2022-2023,23,15
2022-2023,24,18
2022-2023,25,13
2022-2023,26,15
2022-2023,27,15
2022-2023,28,12
2022-2023,29,18
2022-2023,30,19
2022-2023,31,17
2022-2023,32,15
2022-2023,33,18
2022-2023,34,17
2022-2023,35,16
2022-2023,36,13
2022-2023,37,12
2022-2023,38,13
2022-2023,39,18
2022-2023,40,17
2022-2023,41,14
2022-2023,42,15
2022-2023,43,17
2022-2023,44,19
2022-2023,45,19
2022-2023,46,16
2022-2023,47,15
2022-2023,48,13
2022-2023,49,15
2022-2023,50,17
2022-2023,51,14
2022-2023,52,17
2023-2024,1,13
2023-2024,2,16
2023-2024,3,17
2023-2024,4,16
2023-2024,5,15
2023-2024,6,13
2023-2024,7,10
2023-2024,8,16
2023-2024,9,17
2023-2024,10,17
2023-2024,11,13
2023-2024,12,12
2023-2024,13,17
2023-2024,14,12
2023-2024,15,14
2023-2024,16,10
2023-2024,17,15
2023-2024,18,9
2023-2024,19,12
2023-2024,20,10
2023-2024,21,13
2023-2024,22,16
2023-2024,23,14
2023-2024,24,9
2023-2024,25,10
2023-2024,26,16
