year,week,incidentie
2021-2022,1,10
2021-2022,2,12
2021-2022,3,13
2021-2022,4,8
2021-2022,5,8
2021-2022,6,7
2021-2022,7,13
2021-2022,8,9
2021-2022,9,12
2021-2022,10,8
2021-2022,11,7
2021-2022,12,7
2021-2022,13,11
2021-2022,14,10
2021-2022,15,9
2021-2022,16,8
2021-2022,17,10
2021-2022,18,7
2021-2022,19,7
2021-2022,20,13
2021-2022,21,9
2021-2022,22,11
2021-2022,23,12
2021-2022,24,12
2021-2022,25,11
2021-2022,26,10
2021-2022,27,13
2021-2022,28,9
2021-2022,29,10
2021-2022,30,11
2021-2022,31,11
2021-2022,32,13
2021-2022,33,8
2021-2022,34,7
2021-2022,35,11
2021-2022,36,12
2021-2022,37,13
2021-2022,38,10
2021-2022,39,10
2021-2022,40,7
2021-2022,41,9
2021-2022,42,8
2021-2022,43,13
2021-2022,44,12
2021-2022,45,13
2021-2022,46,9
2021-2022,47,8
2021-2022,48,13
2021-2022,49,12
2021-2022,50,12
2021-2022,51,12
2021-2022,52,10
2022-2023,1,15
2022-2023,2,15
2022-2023,3,11
2022-2023,4,12
2022-2023,5,9
2022-2023,6,9
2022-2023,7,9
2022-2023,8,13
2022-2023,9,13
2022-2023,10,11
2022-2023,11,12
2022-2023,12,13
2022-2023,13,10
2022-2023,14,16
2022-2023,15,14
2022-2023,16,11
2022-2023,17,12
2022-2023,18,10
2022-2023,19,13
2022-2023,20,11
2022-2023,21,15
2022-2023,22,9
2022-2023,23,9
2022-2023,24,15
2022-2023,25,15
2022-2023,26,9
2022-2023,27,11
2022-2023,28,11
2022-2023,29,9
2022-2023,30,15
2022-2023,31,9
2022-2023,32,11
2022-2023,33,10
2022-2023,34,10
2022-2023,35,9
2022-2023,36,15
2022-2023,37,15
2022-2023,38,16
2022-2023,39,14
2022-2023,40,11
2022-2023,41,11
2022-2023,42,15
2022-2023,43,14
2022-2023,44,12
2022-2023,45,12
2022-2023,46,13
2022-2023,47,16
2022-2023,48,13
2022-2023,49,16
2022-2023,50,13
2022-2023,51,15
2022-2023,52,15
2023-2024,1,10
2023-2024,2,5
2023-2024,3,9
2023-2024,4,10
2023-2024,5,12
2023-2024,6,5
2023-2024,7,7
2023-2024,8,10
2023-2024,9,13
2023-2024,10,11
2023-2024,11,13
2023-2024,12,6
2023-2024,13,8
2023-2024,14,5
2023-2024,15,5
2023-2024,16,6
2023-2024,17,7
2023-2024,18,10
2023-2024,19,13
2023-2024,20,8
2023-2024,21,11
2023-2024,22,9
2023-2024,23,12
2023-2024,24,8
2023-2024,25,5
2023-2024,26,5
