year,week,incidentie
2021-2022,1,14
2021-2022,2,19
2021-2022,3,17
2021-2022,4,15
2021-2022,5,16
2021-2022,6,15
2021-2022,7,15
2021-2022,8,20
2021-2022,9,20
2021-2022,10,15
2021-2022,11,18
2021-2022,12,16
2021-2022,13,20
2021-2022,14,17
2021-2022,15,16
2021-2022,16,15
2021-2022,17,19
2021-2022,18,20
2021-2022,19,20
2021-2022,20,18
2021-2022,21,15
2021-2022,22,20
2021-2022,23,16
2021-2022,24,18
2021-2022,25,17
2021-2022,26,20
2021-2022,27,17
2021-2022,28,18
2021-2022,29,15
2021-2022,30,19
2021-2022,31,15
2021-2022,32,18
2021-2022,33,16
2021-2022,34,18
2021-2022,35,19
2021-2022,36,14
2021-2022,37,15
2021-2022,38,16
2021-2022,39,16
2021-2022,40,15
2021-2022,41,19
2021-2022,42,18
2021-2022,43,18
2021-2022,44,16
2021-2022,45,17
2021-2022,46,19
2021-2022,47,19
2021-2022,48,16
2021-2022,49,16
2021-2022,50,19
2021-2022,51,15
2021-2022,52,19
2022-2023,1,12
2022-2023,2,17
2022-2023,3,18
2022-2023,4,13
2022-2023,5,14
2022-2023,6,13
2022-2023,7,19
2022-2023,8,12
2022-2023,9,18
2022-2023,10,16
2022-2023,11,16
2022-2023,12,12
2022-2023,13,13
2022-2023,14,16
2022-2023,15,15
2022-2023,16,14
2022-2023,17,19
2022-2023,18,16
2022-2023,19,12
2022-2023,20,18
2022-2023,21,16
2022-2023,22,15
2022-2023,23,15
2022-2023,24,12
2022-2023,25,12
2022-2023,26,14
2022-2023,27,17
2022-2023,28,13
2022-2023,29,13
2022-2023,30,16
2022-2023,31,18
2022-2023,32,19
2022-2023,33,18
2022-2023,34,18
2022-2023,35,17
2022-2023,36,14
2022-2023,37,13
2022-2023,38,15
2022-2023,39,17
2022-2023,40,18
2022-2023,41,17
2022-2023,42,19
2022-2023,43,13
2022-2023,44,16
2022-2023,45,19
2022-2023,46,19
2022-2023,47,19
2022-2023,48,14
2022-2023,49,16
2022-2023,50,18
2022-2023,51,12
2022-2023,52,14
2023-2024,1,15
2023-2024,2,9
2023-2024,3,15
2023-2024,4,11
2023-2024,5,10
2023-2024,6,13
2023-2024,7,17
2023-2024,8,12
2023-2024,9,12
2023-2024,10,12
2023-2024,11,9
2023-2024,12,16
2023-2024,13,11
2023-2024,14,14
2023-2024,15,13
2023-2024,16,12
2023-2024,17,10
2023-2024,18,9
2023-2024,19,13
2023-2024,20,13
2023-2024,21,17
2023-2024,22,14
2023-2024,23,14
2023-2024,24,10
2023-2024,25,10
2023-2024,26,14
